[migrater] migrating=False, pending=0, epoch=0, total_epochs=0
Migrater running on 50051
[migrater] migrating=False, pending=0, epoch=0, total_epochs=0
[migrater] migrating=False, pending=0, epoch=0, total_epochs=0
[migrater] migrating=False, pending=0, epoch=0, total_epochs=0
[migrater] migrating=False, pending=0, epoch=0, total_epochs=0
[migrater] migrating=False, pending=0, epoch=0, total_epochs=0
[migrater] migrating=False, pending=0, epoch=0, total_epochs=0
[migrater] migrating=False, pending=0, epoch=0, total_epochs=0
[migrater] migrating=False, pending=0, epoch=0, total_epochs=0
[migrater] migrating=False, pending=0, epoch=0, total_epochs=0
[migrater] migrating=False, pending=0, epoch=0, total_epochs=0
[migrater] migrating=False, pending=0, epoch=0, total_epochs=0
[migrater] migrating=False, pending=0, epoch=0, total_epochs=0
[migrater] migrating=False, pending=0, epoch=0, total_epochs=0
[migrater] migrating=False, pending=0, epoch=0, total_epochs=0
[migrater] migrating=False, pending=0, epoch=0, total_epochs=0
[migrater] migrating=False, pending=0, epoch=0, total_epochs=0
[migrater] migrating=False, pending=0, epoch=0, total_epochs=0
[migrater] migrating=False, pending=0, epoch=0, total_epochs=0
[migrater] migrating=False, pending=0, epoch=0, total_epochs=0
[migrater] migrating=False, pending=0, epoch=0, total_epochs=0
[migrater] migrating=False, pending=0, epoch=0, total_epochs=0
[migrater] migrating=False, pending=0, epoch=0, total_epochs=0
[migrater] migrating=False, pending=0, epoch=0, total_epochs=0
[migrater] migrating=False, pending=0, epoch=0, total_epochs=0
[migrater] migrating=False, pending=0, epoch=0, total_epochs=0
[migrater] migrating=False, pending=0, epoch=0, total_epochs=0
[migrater] migrating=False, pending=0, epoch=0, total_epochs=0
[migrater] migrating=False, pending=0, epoch=0, total_epochs=0
[migrater] migrating=False, pending=0, epoch=0, total_epochs=0
[migrater] migrating=False, pending=0, epoch=0, total_epochs=0
[migrater] migrating=False, pending=0, epoch=0, total_epochs=0
[migrater] migrating=False, pending=0, epoch=0, total_epochs=0
[migrater] migrating=False, pending=0, epoch=0, total_epochs=0
[migrater] migrating=False, pending=0, epoch=0, total_epochs=0
[migrater] migrating=False, pending=0, epoch=0, total_epochs=0
[migrater] migrating=False, pending=0, epoch=0, total_epochs=0
[migrater] migrating=False, pending=0, epoch=0, total_epochs=0
[migrater] migrating=False, pending=0, epoch=0, total_epochs=0
[migrater] migrating=False, pending=0, epoch=0, total_epochs=0
[migrater] migrating=False, pending=0, epoch=0, total_epochs=0
[migrater] migrating=False, pending=0, epoch=0, total_epochs=0
[migrater] migrating=False, pending=0, epoch=0, total_epochs=0
[migrater] migrating=False, pending=0, epoch=0, total_epochs=0
[migrater] migrating=False, pending=0, epoch=0, total_epochs=0
[migrater] migrating=False, pending=0, epoch=0, total_epochs=0
[migrater] migrating=False, pending=0, epoch=0, total_epochs=0
[migrater] migrating=False, pending=0, epoch=1, total_epochs=5
[migrater] migrating=True, pending=0, epoch=1, total_epochs=5
[migrater] timestamp=1778169243.04, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=999302 B/s, pending=133718016 bytes ([0.37%] 499712/134217728 bytes copied)
[migrater] timestamp=1778169243.55, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=999943 B/s, pending=133210112 bytes ([0.75%] 1007616/134217728 bytes copied)
[migrater] timestamp=1778169244.06, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=999827 B/s, pending=132702208 bytes ([1.13%] 1515520/134217728 bytes copied)
[migrater] timestamp=1778169244.57, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=1000043 B/s, pending=132194304 bytes ([1.51%] 2023424/134217728 bytes copied)
[migrater] timestamp=1778169245.07, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=999846 B/s, pending=131686400 bytes ([1.89%] 2531328/134217728 bytes copied)
[migrater] timestamp=1778169245.58, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=1000313 B/s, pending=131178496 bytes ([2.26%] 3039232/134217728 bytes copied)
[migrater] timestamp=1778169246.09, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=999889 B/s, pending=130670592 bytes ([2.64%] 3547136/134217728 bytes copied)
[migrater] timestamp=1778169246.60, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=999944 B/s, pending=130162688 bytes ([3.02%] 4055040/134217728 bytes copied)
[migrater] timestamp=1778169247.11, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=999972 B/s, pending=129654784 bytes ([3.40%] 4562944/134217728 bytes copied)
[migrater] timestamp=1778169247.61, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=999745 B/s, pending=129146880 bytes ([3.78%] 5070848/134217728 bytes copied)
[migrater] timestamp=1778169248.12, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=1000469 B/s, pending=128638976 bytes ([4.16%] 5578752/134217728 bytes copied)
[migrater] timestamp=1778169248.63, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=999962 B/s, pending=128131072 bytes ([4.53%] 6086656/134217728 bytes copied)
[migrater] timestamp=1778169249.14, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=999879 B/s, pending=127623168 bytes ([4.91%] 6594560/134217728 bytes copied)
[migrater] timestamp=1778169249.64, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=999926 B/s, pending=127115264 bytes ([5.29%] 7102464/134217728 bytes copied)
[migrater] timestamp=1778169250.15, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=999926 B/s, pending=126607360 bytes ([5.67%] 7610368/134217728 bytes copied)
[migrater] timestamp=1778169250.66, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=1000114 B/s, pending=126099456 bytes ([6.05%] 8118272/134217728 bytes copied)
[migrater] timestamp=1778169251.17, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=1000086 B/s, pending=125591552 bytes ([6.43%] 8626176/134217728 bytes copied)
[migrater] timestamp=1778169251.68, migrating=True, epoch=1, total_epochs=5, configured=1000000 B/s, rate=999994 B/s, pending=125083648 bytes ([6.81%] 9134080/134217728 bytes copied)
